	Iozone: Performance Test of File I/O
	        Version $Revision: 3.308 $
		Compiled for 64 bit mode.
		Build: linux 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root.

	Run began: Thu Nov 15 15:08:56 2012

	Auto Mode
	Cross over of record size disabled.
	Using maximum file size of 8192 kilobytes.
	Command line used: iozone -az -g 8M iozone-test
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd   record   stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
            4096      64  809614 1322565  1948757  3737349 3305851 1877005 2234690  2784507  3390670   961983  1096087 1562117  3605576
            4096     128  842984 1310759  1867822  3710710 3904688 1957863 2144586  2989464  3376675   938800  1169668 1533532  3077282
            4096     256  859044 1374520  1992144  2992067 3199942 1930147 2312601  2639075  4649735   857629  1039326 1651464  3503374
            4096     512  766622 1280378  1770973  2972395 3290024 1492240 1864376  2088533  2712836   849823  1155430 1616349  2805423
            4096    1024  786019 1202583  1732574  2445252 3020473 1635118 1967504  2046975  3300136   900846  1053992 1681365  2045756
            4096    2048  758533 1179708  1663780  1766239 2494244 1211829 1441771  1363069  2642729   691543  1333343 1390766  1777937
            4096    4096  634533  917982  1234469  1272035 1287671  925200 1215774   973429  1222348   685062   886620 1221218  1292613
            8192       4  440143  614325   998051  1081453  957234  564071  868068   916949   933034   455924   576817  986277  1068771
            8192       8  552311  802032  1200641  1317029 1326640  767698 1182095  1440732  1312151   578331   734044 1197503  1305520
            8192      16  651186  895488  1326026  1470199 1622824  925968 1344498  2082306  1574199   661122   843332 1323166  1496842
            8192      32  694587  998283  1397998  1519817 1776265 1048646 1555315  2551249  1611332   712225   907192 1524943  1550053
            8192      64  759082 1077350  1534409  1602838 1833027 1081589 1477914  2818958  1813197   714075   914484 1382140  1448079
            8192     128  743575 1080875  1458466  1522646 1794166 1106565 1591037  3058874  1826498   766893   946841 1412422  1525553
            8192     256  744735 1087925  1477342  1513391 1863143 1099026 1579263  2624722  2050005   745689   958810 1449912  1547122
            8192     512  743446 1046633  1442304  1511128 1769314 1079042 1569668  2139353  3422010   775233   955105 1471269  1526095
            8192    1024  738810 1054309  1423659  1487060 1543577 1037218 1549704  2085592  3332724   730967   876975 1417316  1478931
            8192    2048  704211  981179  1352702  1347186 1518474  994038 1406871  1474742  2001405   733261   899144 1382640  1389911
            8192    4096  623772  840383  1282998  1259530 1255480  913584 1286601   996373  1249544   685470  1290661 1201355  1199259
            8192    8192  579551  742563   968321   977912  989486  743575  957554   749021   979333   593670   750183  977217  1000347

iozone test complete.
